epoch,train_loss,train_accuracy,test_loss,test_accuracy,learning_rate
1,0.5262807524681091,0.0,0.36022575911442944,0.0,0.0005
2,0.3656670079469681,0.0,0.26168987506134495,0.0,0.0005
3,0.329364487862587,0.0,0.2498073408937758,0.0,0.0005
4,0.30983356080055235,0.0,0.236849088482796,0.0,0.0005
5,0.29765690264701844,0.0,0.22584587449480772,0.0,0.0005
6,0.28937047877311706,0.0,0.21374596437071539,0.0,0.0005
7,0.28564199423789977,0.0,0.22098571916294704,0.0,0.0005
8,0.2775639417886734,0.0,0.2113259980443177,0.0,0.0005
9,0.27261294040679934,0.0,0.2019331632715881,0.0,0.0005
10,0.27106108043193816,0.0,0.20179832389779911,0.0,0.0005
11,0.26661701352596284,0.0,0.19616190614594017,0.0,0.0005
12,0.2654478236436844,0.0,0.19694682595076834,0.0,0.0005
13,0.26117659940719606,0.0,0.19297766979712588,0.0,0.0005
14,0.2584437256336212,0.0,0.1950825093088636,0.0,0.0005
15,0.2585282817840576,0.0,0.19812415321921087,0.0,0.0005
16,0.2563206475496292,0.0,0.1888640850402747,0.0,0.0005
17,0.2514767137527466,0.0,0.1930519997314283,0.0,0.0005
18,0.25082498886585236,0.0,0.1868896709790655,0.0,0.0005
19,0.2484773199081421,0.0,0.18260110739120253,0.0,0.0005
20,0.24669220089912414,0.0,0.18730338102882835,0.0,0.0005
21,0.2460348334312439,0.0,0.18560291931128045,0.0,0.0005
22,0.2422055354118347,0.0,0.1794593786452986,0.0,0.0005
23,0.24316003506183625,0.0,0.18650576794982715,0.0,0.0005
24,0.24185577347278595,0.0,0.180180508477293,0.0,0.0005
25,0.24372775721549989,0.0,0.18171336221846807,0.0,0.0005
26,0.24285525205135344,0.0,0.18256719358217943,0.0,0.0005
27,0.23844689481258394,0.0,0.1834022902948841,0.0,0.0005
28,0.23876934266090394,0.0,0.17816987386934316,0.0,0.0005
29,0.23802016961574554,0.0,0.17905540911445192,0.0,0.0005
30,0.2352195422410965,0.0,0.17854698828071547,0.0,0.0005
31,0.23561425812244416,0.0,0.180987589203628,0.0,0.0005
32,0.23614944987297057,0.0,0.17309922430735486,0.0,0.0005
33,0.23339602861404418,0.0,0.17353947740641368,0.0,0.0005
34,0.2332686393260956,0.0,0.17268590391821162,0.0,0.0005
35,0.23258714673519135,0.0,0.17004018015922254,0.0,0.0005
36,0.23188926284313202,0.0,0.17357269242690626,0.0,0.0005
37,0.23237008340358734,0.0,0.17705208229221356,0.0,0.0005
38,0.22810364072322845,0.0,0.17153933188717835,0.0,0.0005
39,0.23106327788829803,0.0,0.17314542137133848,0.0,0.0005
40,0.2303668108224869,0.0,0.17014657440269068,0.0,0.0005
41,0.22990212528705598,0.0,0.16960976809073405,0.0,0.0005
42,0.22967745580673218,0.0,0.16856760432006448,0.0,0.0005
