epoch,train_loss,train_accuracy,test_loss,test_accuracy,learning_rate
56,0.003517184940399602,99.6775,0.003478002926159745,99.72,0.001
57,0.004116516227275133,99.6625,0.0032868703955541228,99.77,0.001
58,0.00373868720959872,99.6575,0.0033930660163165086,99.72,0.001
59,0.003741983756609261,99.68,0.0030609939928065723,99.69,0.001
60,0.003996695494372398,99.66,0.00412055317929406,99.54,0.001
61,0.0037609443746507167,99.715,0.003269759203666216,99.75,0.001
62,0.003717060932330787,99.7025,0.005092714909481917,99.62,0.001
63,0.0037179076441563666,99.705,0.003461789121409392,99.76,0.001
64,0.003621556426398456,99.7375,0.003443232557668119,99.69,0.001
65,0.003992585858516395,99.6975,0.00453943785414942,99.58,0.001
66,0.0032864629646763206,99.7475,0.006411237958047516,99.41,0.001
67,0.0037274263409897684,99.7,0.004225474461589816,99.58,0.001
68,0.003392455377988517,99.705,0.005069624601454018,99.63,0.001
69,0.0032566189591772855,99.745,0.011161236752382224,99.17,0.001
70,0.003589493674226105,99.725,0.0034123176699919497,99.74,0.001
71,0.0035264780197292564,99.72,0.003127569126211415,99.72,0.001
72,0.003112609001528472,99.7425,0.002649136062987315,99.76,0.001
73,0.003295325349085033,99.7575,0.003860191126749999,99.66,0.001
74,0.0028331792027689517,99.7325,0.003072251335519016,99.76,0.001
75,0.0036965799402445556,99.6975,0.0038820707182115194,99.59,0.001
76,0.0030219659158494325,99.7425,0.0046897872112347345,99.7,0.001
77,0.0028964594280347228,99.78,0.0035669578589309172,99.6,0.001
78,0.0031655894783325493,99.74,0.004338437934913287,99.59,0.001
79,0.0032565542031545193,99.7425,0.0022780715638421665,99.78,0.001
80,0.0029831657541915775,99.7625,0.0034006358277064506,99.73,0.001
81,0.0030011446196585895,99.7675,0.0034795229372888755,99.72,0.001
82,0.0029921330727171154,99.74,0.0028620310703138256,99.72,0.001
83,0.0031968132488895207,99.7425,0.003090181018694476,99.67,0.001
84,0.002887808502605185,99.76,0.002744497839957594,99.74,0.001
85,0.0028735963606275616,99.765,0.0035657474406324565,99.72,0.001
86,0.0030272840226069093,99.7675,0.0026600573869617833,99.83,0.001
87,0.002728263469412923,99.8,0.0027125253513378277,99.77,0.001
88,0.002659262035274878,99.785,0.003123905848575293,99.74,0.001
89,0.002566028544679284,99.775,0.003427665724395329,99.76,0.001
90,0.0027869417497888207,99.7625,0.004324565705350915,99.74,0.001
91,0.0032920868806540966,99.7425,0.00293654412480522,99.81,0.001
92,0.0027360008155927064,99.79,0.004296047501058383,99.73,0.001
93,0.003038088110787794,99.7925,0.002718808632166048,99.69,0.001
94,0.0030358550681732596,99.7675,0.0036272904913498766,99.69,0.001
95,0.002595830180728808,99.785,0.0026717343470333797,99.78,0.001
96,0.002812013862049207,99.78,0.0029965040811921833,99.78,0.001
97,0.002626910050492734,99.7875,0.0029590907625284546,99.78,0.001
98,0.002764798324648291,99.8,0.0048772906476726675,99.63,0.001
99,0.0031034499850124122,99.7875,0.002607356798820269,99.78,0.001
