epoch,train_loss,train_accuracy,test_loss,test_accuracy,learning_rate
56,0.15625389293432235,48.4975,0.1675523316404622,47.04,0.001
57,0.15575392245054245,48.7975,0.16506190436660864,47.43,0.001
58,0.15533233503103255,48.8075,0.16991995668904797,44.89,0.001
59,0.15526944030523301,48.955,0.16421321153071275,49.05,0.001
60,0.15505334062576295,49.1925,0.16729141003007342,49.41,0.001
61,0.1546280077934265,49.21,0.16510557373807688,47.99,0.001
62,0.15386517031192778,49.4225,0.16232868174838413,47.5,0.001
63,0.1541978016257286,49.37,0.16037259597307557,48.29,0.001
64,0.15387451713085173,49.325,0.16369185041470133,47.39,0.001
65,0.15250762516260147,49.5575,0.16339318017671062,46.73,0.001
66,0.15314610769748688,49.4925,0.16967891094980725,46.41,0.001
67,0.1533610421180725,49.635,0.16564066736561478,47.9,0.001
68,0.15320799692869186,49.6575,0.16008084789393054,49.65,0.001
69,0.15228853293657302,50.095,0.16495782763335357,47.84,0.001
70,0.15144047132730484,50.1075,0.16036276291510101,49.9,0.001
71,0.15190710538625718,50.0075,0.16191303829668433,48.16,0.001
72,0.15175414061546325,49.705,0.16234645935570358,48.55,0.001
73,0.15159415003061294,49.79,0.16231997363316786,47.29,0.001
74,0.1507183665037155,50.0675,0.16189428727338268,48.73,0.001
75,0.15114784824848176,50.0375,0.15933309946280377,48.49,0.001
76,0.15107794518470763,50.1625,0.15972101005019657,48.61,0.001
77,0.15085069886445998,50.4725,0.16349403498468884,46.99,0.001
78,0.1510249346971512,50.0675,0.16651583947004026,48.44,0.001
79,0.15117840292453766,50.17,0.16338067615677596,49.22,0.001
80,0.15091650722026825,50.345,0.15906546729954946,49.87,0.001
81,0.1513883965730667,50.115,0.16352849553345114,46.86,0.001
82,0.15039862756729125,50.525,0.16367182961315108,48.09,0.001
83,0.1502993243932724,50.4325,0.15863031272295933,49.71,0.001
84,0.14985614458322524,50.395,0.16806615609082448,48.74,0.001
85,0.1498738765835762,50.7225,0.1584380324099474,49.58,0.001
86,0.1496938354253769,50.5475,0.1601109582527428,49.7,0.001
87,0.14895125279426574,50.915,0.16119658064310718,49.48,0.001
88,0.1494517655849457,50.68,0.1614737489325985,48.61,0.001
89,0.14938628896474837,50.4675,0.16083839322161522,48.68,0.001
90,0.14957069747447968,50.7375,0.16442109535264363,47.57,0.001
91,0.14875551544427873,50.515,0.1587061580673904,50.83,0.001
92,0.14859764535427095,50.6675,0.15998789402329996,47.46,0.001
93,0.14848276305198668,50.6625,0.16101092484536444,47.95,0.001
94,0.1486183044910431,50.9375,0.16747627340874094,46.83,0.001
95,0.14774579585790634,50.9075,0.1597599593127609,50.0,0.001
96,0.14842275363206864,50.7125,0.16055022977339994,48.42,0.001
97,0.14792448018789292,51.195,0.16380378214796637,47.53,0.001
98,0.14742629060745238,51.1125,0.16203447232011017,48.21,0.001
99,0.14765039556026457,51.0225,0.16050729933817676,48.66,0.001
100,0.14772296830415726,51.0325,0.16310840930528703,48.57,0.001
